Results

schema	type	value
auth	aal_level	aal1
auth	aal_level	aal2
auth	aal_level	aal3
realtime	action	INSERT
realtime	action	UPDATE
realtime	action	DELETE
realtime	action	TRUNCATE
realtime	action	ERROR
storage	buckettype	STANDARD
storage	buckettype	ANALYTICS
storage	buckettype	VECTOR
auth	code_challenge_method	s256
auth	code_challenge_method	plain
realtime	equality_op	eq
realtime	equality_op	neq
realtime	equality_op	lt
realtime	equality_op	lte
realtime	equality_op	gt
realtime	equality_op	gte
realtime	equality_op	in
auth	factor_status	unverified
auth	factor_status	verified
auth	factor_type	totp
auth	factor_type	webauthn
auth	factor_type	phone
public	notification_type	order
public	notification_type	parcel
public	notification_type	wallet
public	notification_type	system
public	notification_type	promo
auth	oauth_authorization_status	pending
auth	oauth_authorization_status	approved
auth	oauth_authorization_status	denied
auth	oauth_authorization_status	expired
auth	oauth_client_type	public
auth	oauth_client_type	confidential
auth	oauth_registration_type	dynamic
auth	oauth_registration_type	manual
auth	oauth_response_type	code
auth	one_time_token_type	confirmation_token
auth	one_time_token_type	reauthentication_token
auth	one_time_token_type	recovery_token
auth	one_time_token_type	email_change_token_new
auth	one_time_token_type	email_change_token_current
auth	one_time_token_type	phone_change_token
public	order_status	pending
public	order_status	searching_rider
public	order_status	assigned
public	order_status	accepted
public	order_status	picked_up
public	order_status	in_transit
public	order_status	delivered
public	order_status	cancelled
public	order_status	confirmed
public	order_status	preparing
public	order_type	food
public	order_type	errand
public	parcel_status	pending
public	parcel_status	searching_rider
public	parcel_status	assigned
public	parcel_status	accepted
public	parcel_status	picked_up
public	parcel_status	in_transit
public	parcel_status	delivered
public	parcel_status	cancelled
public	payment_status	pending
public	payment_status	paid
public	payment_status	failed
public	payment_status	refunded
public	user_role	customer
public	user_role	rider
public	user_role	admin
public	withdrawal_status	pending
public	withdrawal_status	approved
public	withdrawal_status	rejected
public	withdrawal_status	paid
